Rank,Release Group,Worldwide,Domestic,%,Foreign,%
82,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
83,Beauty and the Beast 2020 Re-release,"$543,260","$467,000",86%,"$76,260",14%
84,Followed,"$538,179","$538,179",100%,-,-
85,Babyteeth,"$532,541","$4,507",0.8%,"$528,034",99.2%
86,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
87,The Burnt Orange Heresy,"$495,657","$141,301",28.5%,"$354,356",71.5%
88,Once Were Brothers: Robbie Robertson and the Band,"$490,702","$449,561",91.6%,"$41,141",8.4%
89,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
90,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
91,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
92,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
93,Infamous,"$429,148","$429,148",100%,-,-
94,Hope Gap,"$417,071","$104,732",25.1%,"$312,339",74.9%
95,The Climb,"$413,161",-,-,"$413,161",100%
96,Back to the Future 2020 Re-release,"$406,408","$247,000",60.8%,"$159,408",39.2%
97,Palm Springs,"$377,056","$164,000",43.5%,"$213,056",56.5%
98,Burden,"$327,838","$139,270",42.5%,"$188,568",57.5%
99,Summerland,"$301,275","$57,461",19.1%,"$243,814",80.9%
100,Gremlins 2020 Re-release,"$295,000","$295,000",100%,-,-
101,Resistance,"$288,586","$7,464",2.6%,"$281,122",97.4%
102,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
103,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
104,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
105,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
106,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
107,The Trip to Greece,"$233,014","$8,340",3.6%,"$224,674",96.4%
108,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
109,Archive,"$227,171","$139,593",61.4%,"$87,578",38.6%
110,Never Rarely Sometimes Always,"$225,830","$16,565",7.3%,"$209,265",92.7%
111,Fatima,"$205,416",-,-,"$205,416",100%
112,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
113,Tesla,"$178,364","$83,857",47%,"$94,507",53%
114,Cruel Peter,"$163,925",-,-,"$163,925",100%
115,Tulsa,"$159,092","$159,092",100%,-,-
116,The Booksellers,"$156,917","$25,694",16.4%,"$131,223",83.6%
117,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
118,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
119,Incitement,"$140,306","$140,306",100%,-,-
120,We Summon the Darkness,"$140,105","$60,794",43.4%,"$79,311",56.6%
121,Most Wanted,"$138,000","$138,000",100%,-,-
122,Beneath Us,"$137,260","$137,260",100%,-,-
